epoch,loss,val_loss
1,0.2058945596218109,0.07497525960206985
2,0.050907835364341736,0.01272910088300705
3,0.02587171271443367,0.008423996157944202
4,0.015284869819879532,0.006312925834208727
5,0.010848757810890675,0.0055655199103057384
6,0.009185622446238995,0.005845123436301947
7,0.00853380560874939,0.004672163166105747
8,0.008366968482732773,0.0056978692300617695
9,0.007819360122084618,0.0040243458934128284
10,0.007368725724518299,0.003928994294255972
11,0.007108270190656185,0.004226562567055225
12,0.006754765752702951,0.0034928550012409687
13,0.006356337107717991,0.0034463813062757254
14,0.00674152048304677,0.0036931897047907114
15,0.006357343401759863,0.0035430837888270617
16,0.005926322191953659,0.0032241297885775566
17,0.0062384409829974174,0.0033848825842142105
18,0.005858221556991339,0.0034016978461295366
19,0.005724094342440367,0.0031474221032112837
20,0.0055190217681229115,0.0031488505192101
21,0.005479616113007069,0.0030368459410965443
22,0.005276394542306662,0.003087475663051009
23,0.0051729618571698666,0.0028593691531568766
24,0.005206227768212557,0.002888136776164174
25,0.005774815566837788,0.0026964808348566294
26,0.004952632822096348,0.0027362313121557236
27,0.004742331337183714,0.002861874410882592
28,0.004770731087774038,0.0037156082689762115
29,0.0048400042578577995,0.0032903209794312716
30,0.005029834806919098,0.0029915659688413143
